Sample	X	Y	Z	color
changai	-0.005233999	3.12E-03	-0.006888625	black
changai	0.097085085	9.20E-03	-0.173983332	black
changai	0.005861783	-6.85E-03	-0.016353534	black
changai	-0.009373828	5.10E-03	-0.001569477	black
changai	-0.001626298	1.59E-03	-0.015356279	black
changai	-0.003856168	-3.77E-04	-0.006262539	black
changai	-0.005996025	3.11E-03	-0.002162781	black
changai	0.001918688	-2.73E-03	-0.011670578	black
changai	-0.009892064	7.33E-03	-0.002189072	black
ganai	0.005674126	-5.62E-02	0.032142574	red
ganai	0.065054529	-4.58E-01	0.302770109	red
ganai	-0.000526517	-3.59E-03	-0.006569861	red
ganai	-0.001863639	-1.25E-03	-0.010363251	red
ganai	-0.00924572	-5.21E-04	-0.003448211	red
ganai	-0.021075298	1.21E-02	0.012449229	red
ganai	0.001491389	-3.23E-03	-0.014467577	red
ganai	-0.005952323	-1.42E-02	0.007948951	red
ganai	0.004625238	-2.80E-03	-0.016131532	red
ganai	-0.004601395	-1.71E-03	-0.007850342	red
ganai	0.004993056	-4.75E-03	-0.011976039	red
ganai	-0.005170079	2.03E-04	-0.006767635	red
ganai	-0.0142543	3.40E-03	-0.001142288	red
ganai	-0.001801249	8.96E-05	-0.005879265	red
ganai	0.000506286	-5.25E-03	-0.017612163	red
ganai	-0.004617596	-4.27E-03	-0.006820273	red
ganai	-0.007683083	2.80E-03	0.003512833	red
ganai	0.010657387	-9.04E-03	-0.037666505	red
ganai	-0.003814523	-8.90E-03	-0.009449049	red
ganai	-0.004673725	1.47E-03	-0.008598661	red
ganai	0.006221173	-5.86E-03	-0.01227217	red
ganai	0.012608026	-1.22E-02	-0.033491495	red
ganai	-0.002579254	-2.33E-03	-0.008374368	red
shiguanai	0.006038106	-7.42E-03	-0.023878788	blue
shiguanai	-0.01628094	4.60E-03	-0.000122844	blue
shiguanai	0.000315216	-2.54E-05	-0.006037188	blue
shiguanai	-0.009157539	2.11E-03	0.002774181	blue
shiguanai	0.003365583	-6.27E-03	-0.015165883	blue
shiguanai	0.104525809	5.50E-02	0.028120972	blue
shiguanai	0.003368085	6.93E-03	-0.000253151	blue
shiguanai	-0.00865403	2.39E-03	-0.009098928	blue
shiguanai	-0.013870844	6.71E-03	-0.006465449	blue
shiguanai	-0.013826581	5.59E-03	0.002884737	blue
shiguanai	0.00334739	-5.63E-03	-0.02140651	blue
shiguanai	0.001874743	8.79E-04	-0.005202013	blue
shiguanai	-0.016460488	5.51E-03	0.008241329	blue
shiguanai	0.406699632	2.60E-01	0.277636847	blue
shiguanai	0.021299361	-1.24E-02	-0.054321209	blue
weiai	0.005750538	-6.53E-03	-0.022972486	orange
weiai	-0.003559963	1.73E-04	-0.009138106	orange
weiai	-0.010588273	4.95E-03	-0.004521435	orange
weiai	-0.009200425	1.89E-03	-0.002633879	orange
weiai	0.016993272	-1.66E-02	-0.059341387	orange
weiai	-0.001720313	5.65E-04	-0.011766886	orange
weiai	0.005266268	7.15E-03	0.000942404	orange
weiai	-0.032956875	1.32E-02	0.015342729	orange
weiai	0.006742416	-5.48E-03	-0.022574004	orange
weiai	0.002349193	-2.08E-03	-0.014387797	orange
weiai	-0.015550852	1.90E-02	0.006367473	orange
weiai	-0.012062947	4.61E-03	-0.000216386	orange
weiai	0.003253862	-7.85E-03	-0.01532219	orange
weiai	0.006641742	-6.04E-03	-0.027759206	orange
weiai	0.003660966	-5.18E-03	-0.020156068	orange
weiai	-0.00563994	-8.09E-04	-0.006166494	orange
weiai	-0.001682847	-1.43E-03	-0.012214852	orange
weiai	0.00472033	-4.66E-03	-0.015602661	orange
weiai	0.002522696	-4.41E-03	-0.013209983	orange
weiai	-0.001132877	-1.25E-03	-0.010284599	orange
weiai	-0.016280387	7.03E-03	-0.000605683	orange
weiai	-0.061345315	1.90E-02	0.046907877	orange
weiai	0.004518263	-1.35E-02	-0.05244221	orange
weiai	-0.371266853	2.05E-01	0.294080305	orange
yixianai	-0.015596166	-7.41E-03	-0.072902402	green
yixianai	-0.007531387	2.62E-03	-0.009470978	green
yixianai	0.004552788	-6.54E-03	-0.014801011	green
yixianai	-0.001421393	1.08E-03	0.000456358	green
yixianai	-0.001343348	-6.27E-04	-0.01075151	green
yixianai	0.010861823	7.21E-03	-0.033269143	green
yixianai	-0.013116683	5.22E-03	-0.00411084	green
yixianai	0.001611033	-4.07E-03	-0.020850259	green
yixianai	-0.062891529	3.19E-02	0.042162411	green
