	wt1	wt2	wt3	wt4	wt5	ko1	ko2	ko3	ko4	ko5
gene1	223	245	210	237	201	477	410	467	428	494
gene2	646	622	653	617	616	524	552	517	508	525
gene3	313	334	353	300	354	658	687	705	666	664
gene4	728	715	746	729	701	511	482	506	498	538
gene5	51	41	40	45	32	295	313	295	282	301
gene6	599	581	579	558	596	980	953	943	925	960
gene7	350	410	381	386	368	69	63	78	71	86
gene8	856	858	839	853	881	412	386	379	403	445
gene9	277	308	288	306	307	847	852	907	855	867
gene10	962	976	954	984	968	934	925	962	1000	957
gene11	153	142	162	164	146	248	276	266	267	294
gene12	726	750	749	720	772	330	313	335	322	304
gene13	76	71	66	68	79	629	669	633	630	655
gene14	387	356	422	376	376	361	361	352	350	355
gene15	671	623	638	618	583	688	653	687	688	698
gene16	229	205	219	215	212	602	553	554	611	562
gene17	693	709	749	705	723	429	450	403	438	433
gene18	296	237	270	232	249	454	467	480	461	463
gene19	981	1022	1014	987	972	364	351	352	360	349
gene20	858	920	842	874	855	597	569	579	609	550
gene21	774	804	768	794	788	312	303	308	299	327
gene22	125	139	131	127	151	902	827	967	906	886
gene23	185	191	199	217	201	717	619	632	669	669
gene24	612	547	535	555	511	492	490	509	478	452
gene25	147	145	132	168	113	209	197	202	207	242
gene26	502	475	476	537	456	369	413	383	368	360
gene27	782	835	817	777	781	184	154	178	180	182
gene28	31	27	24	34	28	894	870	873	846	937
gene29	811	876	844	870	912	862	838	877	871	867
gene30	45	45	57	36	43	582	578	565	561	502
gene31	358	370	342	383	359	481	469	484	455	542
gene32	636	599	685	655	648	227	211	240	212	207
gene33	475	439	510	446	449	970	932	955	972	948
gene34	574	643	579	617	587	326	302	298	258	296
gene35	260	245	283	245	216	814	868	833	847	889
gene36	693	706	729	695	706	780	761	773	735	742
gene37	963	957	988	969	958	46	44	51	49	45
gene38	634	643	674	632	687	329	368	325	315	319
gene39	755	811	798	783	724	921	920	940	906	896
gene40	904	899	903	988	937	562	636	597	665	669
gene41	622	624	597	662	607	784	776	761	796	797
gene42	195	204	186	205	193	699	698	711	720	671
gene43	346	332	342	328	321	130	131	119	121	151
gene44	211	196	198	181	189	608	601	626	631	573
gene45	867	904	869	904	860	293	258	287	319	308
gene46	694	706	745	726	789	704	805	772	782	738
gene47	765	723	712	705	748	457	474	437	452	434
gene48	351	351	368	391	353	181	180	175	158	195
gene49	703	652	699	668	665	202	167	191	175	191
gene50	854	798	819	813	859	23	34	21	25	32
gene51	408	401	382	422	419	513	458	459	453	448
gene52	207	223	212	225	215	145	161	163	121	151
gene53	813	831	840	827	797	352	384	416	400	376
gene54	135	125	120	139	120	448	474	441	408	443
gene55	610	621	622	598	609	361	363	337	407	370
gene56	480	489	455	474	444	114	117	107	93	108
gene57	312	318	327	338	297	589	606	567	599	593
gene58	184	188	157	141	191	523	595	532	541	545
gene59	308	313	293	285	291	668	655	629	669	637
gene60	516	535	516	504	555	101	111	110	118	105
gene61	438	438	466	422	434	766	723	829	787	792
gene62	112	112	137	114	123	373	353	350	344	343
gene63	48	37	48	55	59	936	929	886	934	961
gene64	521	507	478	511	463	53	57	41	53	47
gene65	76	79	99	101	75	315	329	306	336	346
gene66	1010	972	986	974	965	934	961	958	930	962
gene67	194	185	186	185	192	157	151	129	155	149
gene68	58	78	60	79	61	41	35	43	37	38
gene69	773	793	794	723	777	706	739	759	733	684
gene70	193	187	193	184	188	766	734	805	881	793
gene71	445	393	445	406	403	206	209	206	210	207
gene72	616	593	606	629	566	268	283	283	262	261
gene73	376	407	389	392	375	211	183	197	205	194
gene74	783	749	751	695	748	268	253	260	272	292
gene75	656	694	652	606	668	993	970	1015	982	988
gene76	292	304	298	294	302	377	377	394	371	376
gene77	572	571	568	550	578	880	883	858	855	824
gene78	811	893	784	845	809	118	121	122	122	134
gene79	37	51	66	37	43	633	603	603	587	608
gene80	978	955	929	894	956	517	518	482	482	555
gene81	672	696	747	716	687	170	209	165	167	189
gene82	485	548	569	535	513	307	286	350	310	314
gene83	191	168	148	194	198	62	66	71	50	68
gene84	212	228	225	213	249	879	857	857	825	830
gene85	1034	1019	979	957	1002	279	308	309	275	324
gene86	867	832	834	812	868	755	682	726	744	746
gene87	919	834	920	892	899	32	38	42	25	34
gene88	553	609	623	634	627	320	334	318	331	328
gene89	530	514	518	465	516	801	869	751	784	784
gene90	455	424	382	394	409	765	772	721	730	744
gene91	123	109	116	112	106	387	380	348	414	379
gene92	498	450	507	467	515	528	515	511	507	483
gene93	460	475	495	440	448	170	170	190	180	166
gene94	602	643	613	594	586	746	802	775	747	797
gene95	793	822	773	794	808	419	431	435	409	395
gene96	193	187	212	212	221	346	377	386	408	363
gene97	718	756	784	756	792	963	892	953	947	967
gene98	863	815	886	759	840	339	326	343	312	316
gene99	602	632	678	606	656	105	104	101	98	91
gene100	742	776	771	748	759	906	958	928	890	824
