Sample	X	Y	Z	color
changai	-0.007507191	0.004326663	-1.31E-02	black
changai	-0.006174858	0.00682813	-1.04E-02	black
changai	-0.009382323	0.010608782	-8.78E-03	black
changai	-0.007284634	0.007843206	-1.15E-02	black
changai	-0.007647914	0.00584059	-8.08E-03	black
changai	-0.007988538	0.009711903	-1.30E-02	black
changai	-0.00469476	0.008131523	-9.57E-03	black
changai	-0.008134147	0.005886268	-6.87E-03	black
changai	-0.006482314	0.005679046	-1.18E-02	black
ganai	-0.009925977	0.008054824	-1.18E-02	red
ganai	-0.009444007	0.009356722	-2.24E-02	red
ganai	-0.009777246	0.018843675	-5.72E-02	red
ganai	-0.009518236	0.006774541	-1.38E-02	red
ganai	-0.00782856	0.006913459	-1.19E-02	red
ganai	-0.010318013	-0.09647613	9.59E-03	red
ganai	-0.010482076	0.005981274	-1.78E-02	red
ganai	-0.013518308	0.040573529	8.34E-02	red
ganai	-0.009457509	0.015401987	-9.22E-03	red
ganai	-0.010358283	0.006756725	-1.17E-02	red
ganai	-0.007801548	0.004181501	-1.16E-02	red
ganai	-0.010535678	0.006519533	-2.27E-02	red
ganai	-0.004469425	0.004050682	-1.64E-02	red
ganai	-0.009763291	0.010352375	-1.26E-02	red
ganai	-0.009516757	0.008439893	-3.74E-03	red
ganai	-0.007590719	0.009463398	-3.22E-03	red
ganai	-0.007480726	0.007078467	-1.27E-02	red
ganai	-0.005767682	0.006801872	-9.16E-03	red
ganai	-0.010814677	-0.009405146	-5.61E-03	red
ganai	0.000989134	0.006883456	-8.94E-03	red
ganai	-0.008896422	0.009372203	-1.90E-05	red
ganai	-0.015105264	0.010834617	-1.63E-02	red
ganai	-0.017636709	-0.142745703	4.47E-02	red
shiguanai	-0.008287013	0.00641884	-9.22E-03	blue
shiguanai	0.012532576	-0.000274674	-1.37E-02	blue
shiguanai	-0.007221095	0.006110601	-1.12E-02	blue
shiguanai	-0.004377438	0.002929196	-1.67E-02	blue
shiguanai	-0.006432978	0.004216511	-1.41E-02	blue
shiguanai	-0.016240135	0.020207661	-7.90E-02	blue
shiguanai	-0.010544569	-0.0265781	-4.05E-03	blue
shiguanai	-0.012792807	0.015124269	-6.90E-03	blue
shiguanai	0.677869335	-0.017537308	3.47E-02	blue
shiguanai	0.104132708	0.005229419	-8.85E-03	blue
shiguanai	-0.007103269	-0.000321822	-1.03E-02	blue
shiguanai	-0.008013651	0.009051247	-2.05E-02	blue
shiguanai	-0.005153278	0.008195559	-1.23E-02	blue
shiguanai	-0.028968323	0.088639035	5.21E-02	blue
shiguanai	0.004722145	0.005398664	-1.28E-02	blue
weiai	-0.007944257	0.003672742	-1.30E-02	orange
weiai	-0.011069499	0.011785259	-2.27E-02	orange
weiai	-0.00948662	0.010876073	-6.89E-03	orange
weiai	-0.011824722	0.006662848	-1.17E-02	orange
weiai	-0.008177479	0.007043031	-8.25E-03	orange
weiai	-0.02123479	-0.025843765	-2.68E-02	orange
weiai	-0.00888036	-0.00369747	-9.63E-03	orange
weiai	-0.005432797	0.006756358	-1.46E-02	orange
weiai	-0.008408956	0.005702128	-1.11E-02	orange
weiai	-0.042819012	-0.522548873	1.63E-01	orange
weiai	-0.010703448	-0.044631558	3.56E-03	orange
weiai	-0.009138573	-0.002066595	-1.43E-02	orange
weiai	-0.039707719	0.177508694	5.12E-01	orange
weiai	-0.012038865	0.031127764	4.12E-02	orange
weiai	-0.014012175	0.009174937	-3.62E-02	orange
weiai	-0.009804352	0.010517326	-1.68E-02	orange
weiai	-0.011108528	0.005267609	-9.82E-03	orange
weiai	-0.009441832	0.008230819	-7.66E-03	orange
weiai	-0.005153201	0.005594767	-1.31E-02	orange
weiai	-0.011319162	0.004084539	-1.65E-02	orange
weiai	-0.006800521	0.00631538	-1.04E-02	orange
weiai	-0.006028912	0.007849657	-6.26E-03	orange
weiai	-0.01738405	0.044810733	2.15E-02	orange
weiai	-0.010000329	0.012773602	-1.86E-02	orange
yixianai	-0.012205771	0.002804978	-4.41E-03	green
yixianai	-0.012146839	0.011345999	5.27E-03	green
yixianai	-0.010882607	0.011026657	-5.88E-03	green
yixianai	-0.015603542	0.014947926	-4.18E-02	green
yixianai	-0.010791455	0.007366312	-8.59E-03	green
yixianai	-0.007398502	0.007057579	-1.09E-02	green
yixianai	-0.009403096	0.007980792	-9.33E-03	green
yixianai	-0.007960491	0.007616214	-1.09E-02	green
yixianai	-0.009495088	0.007214575	-1.39E-02	green
