Sample	X	Y	Z	color
changai	-0.004691935	0.003457373	-0.003972337	black
changai	-0.006673576	0.004891216	-0.00645188	black
changai	-0.004149711	0.002945239	-0.004121012	black
changai	-0.006286785	0.005101511	-0.005297889	black
changai	-0.005676579	0.003720048	-0.002072975	black
changai	-0.005006795	0.002792136	-0.003585783	black
changai	-0.005490622	0.004790551	-0.005732924	black
changai	-0.002670487	0.003372206	-0.004999439	black
changai	-0.003699035	0.00293276	-0.004951058	black
changai	-0.010054273	0.012806137	-0.017227717	black
changai	-0.005138833	0.00032915	0.010302406	black
changai	-0.006230074	0.004660928	-0.004141233	black
changai	-0.006656214	0.006287434	-0.004598041	black
changai	-0.006064511	0.006098943	-0.00977275	black
ganai	-0.007565515	0.008642637	-0.007965972	red
ganai	-0.00440264	0.004796671	-0.006460979	red
ganai	-0.000868951	0.003136649	-0.004077727	red
ganai	-0.003482929	0.002484337	-0.006494272	red
ganai	-0.005608512	0.005833586	-0.006185064	red
ganai	0.001839789	0.004827783	-0.007093223	red
ganai	-0.006586928	0.00546573	-0.006225691	red
ganai	-0.002839617	0.00318966	-0.00448692	red
ganai	-0.00469744	0.003056257	-0.00495232	red
ganai	-0.003066119	0.005394419	-0.006588288	red
ganai	-0.003297936	0.002310126	-0.004134994	red
ganai	-0.004832022	0.004367311	-0.005373693	red
ganai	0.001833258	-0.001494268	-0.0062057	red
ganai	-0.002990016	0.00028974	-0.003735865	red
ganai	-0.005715943	0.002263332	-0.001649083	red
ganai	-0.004474339	0.005278727	-0.005075687	red
ganai	-0.006649809	0.010235079	-0.005066057	red
ganai	-0.007924135	0.00676946	-0.010864695	red
ganai	-0.003571342	0.000216108	-0.002592476	red
ganai	-0.003609029	0.002081662	-0.003272931	red
ganai	-0.006503659	0.004508676	-0.004825821	red
ganai	-0.007767529	0.004066083	-0.006537852	red
ganai	-0.007561351	0.002002108	-0.006774745	red
ganai	-0.004818411	0.005081116	-0.00561079	red
ganai	-0.006498951	0.005590507	-0.008581123	red
ganai	-0.009012051	0.009350276	-0.007103283	red
ganai	-0.006859769	0.001351996	-0.005943853	red
ganai	-0.006183329	0.004756055	-0.005811898	red
ganai	-0.001906512	-0.004178734	0.003628235	red
ganai	-0.005713074	0.006672371	-0.007572556	red
ganai	-0.015123162	0.005891461	-0.008924063	red
ganai	-0.001499856	0.00430786	-0.006359677	red
ganai	-0.004346584	0.002575019	-0.00563183	red
ganai	-0.005723477	0.006066408	0.011031125	red
ganai	-0.005895067	0.005383985	-0.007584906	red
ganai	-0.007236941	0.007386927	-0.010566078	red
ganai	-0.004543746	0.00499304	-0.00646916	red
ganai	-0.00494459	0.002853734	0.003563805	red
ganai	-0.00384944	-0.023392979	-0.004242683	red
ganai	0.055563205	0.007425168	-0.009903828	red
ganai	-0.00374708	0.004321164	-0.00516914	red
shiguanai	-0.010019519	0.004425191	-0.00837647	blue
shiguanai	-0.004352989	0.001488779	-0.003507098	blue
shiguanai	-0.005064107	0.003568244	-0.006691413	blue
shiguanai	-0.022873593	0.055539458	0.677897652	blue
shiguanai	-0.00458492	-0.002294545	0.003549392	blue
shiguanai	-0.017871527	0.014248612	-0.021823325	blue
shiguanai	0.751590726	-0.00665081	0.014815696	blue
shiguanai	0.000287779	0.006831013	-0.004819794	blue
shiguanai	-0.007710083	0.007622428	-0.008956811	blue
shiguanai	-0.005386475	0.006259819	-0.010169226	blue
shiguanai	-0.004360304	0.003126925	-0.00351932	blue
shiguanai	-0.005553012	0.004927243	-0.003843574	blue
shiguanai	-0.003957929	0.003010656	-0.004015048	blue
shiguanai	0.000992926	0.003899073	-0.005138858	blue
shiguanai	-0.005518689	0.003724506	-0.002274387	blue
shiguanai	-0.002392567	-0.003571662	-0.001074904	blue
shiguanai	-0.0044718	-0.002305716	-0.003422613	blue
shiguanai	0.001095563	0.003016606	0.008122109	blue
shiguanai	-0.019488019	0.002363844	-0.014696341	blue
shiguanai	-0.005257103	0.00542118	-0.006461446	blue
shiguanai	-0.004988105	0.005650473	-0.001347261	blue
shiguanai	-0.012113552	0.013657576	-0.017513909	blue
shiguanai	-0.009490884	0.012406543	0.106375925	blue
shiguanai	-0.004396688	0.001360456	-0.004453668	blue
shiguanai	0.000514545	0.011423787	-0.022773809	blue
shiguanai	-0.006191008	0.001173701	-0.00178205	blue
shiguanai	-0.003423136	0.003657485	-0.006806982	blue
shiguanai	-0.005391018	0.005450796	-0.005929536	blue
shiguanai	-0.003634678	-0.001747377	0.017246002	blue
weiai	-0.007302289	0.000266199	-0.002905877	orange
weiai	-0.007932289	0.033160795	-0.044886288	orange
weiai	-0.003734558	0.014887013	-0.022050143	orange
weiai	-0.00804294	-0.001020947	0.018835393	orange
weiai	-0.007712719	0.007352263	-0.003078616	orange
weiai	-0.021002296	0.014665906	-0.027580686	orange
weiai	-0.00275683	0.004278889	-0.005050076	orange
weiai	-0.009176442	0.011828646	-0.012299949	orange
weiai	-0.008244735	0.005578359	-0.008407557	orange
weiai	-0.005573467	0.005058822	-0.006074313	orange
weiai	-0.003158924	0.002866876	-0.00427624	orange
weiai	-0.004651503	0.004176618	-0.0051867	orange
weiai	-0.001218715	0.003522258	-0.00766399	orange
weiai	-0.004533968	0.000760358	-0.001725636	orange
weiai	-0.004311631	-0.003646099	-0.005716921	orange
weiai	-0.003062771	0.002487509	-0.003698726	orange
weiai	-0.005253184	0.00360702	-0.005603116	orange
weiai	-0.005291952	0.006564181	-0.006779327	orange
weiai	-0.004418858	0.004631872	-0.00474562	orange
weiai	-0.005710472	0.005855665	-0.006539471	orange
weiai	-0.005239067	0.002103574	-0.006098097	orange
weiai	-0.003730077	0.005209284	-0.003063681	orange
weiai	-0.004866657	0.001820419	-0.005776576	orange
weiai	-0.005118507	0.00450975	-0.005551764	orange
weiai	-0.004881256	0.006157233	-0.008993923	orange
weiai	-0.005960767	0.004800531	-0.002688463	orange
weiai	-0.006373467	0.004569463	-0.006589654	orange
weiai	-0.004119271	0.005105312	-0.007153189	orange
weiai	-0.006214724	0.007137839	-0.00892586	orange
weiai	-0.015391116	-0.694840328	0.045132759	orange
weiai	-0.004547283	0.005111622	-0.006361698	orange
weiai	-0.017126587	0.015791849	-0.028351753	orange
weiai	-0.006635696	0.007174479	-0.009776419	orange
weiai	-0.002420177	0.004902102	-0.006251288	orange
weiai	-0.011769305	-0.006518863	-0.011137802	orange
weiai	-0.009216554	0.007573119	-0.010454457	orange
weiai	-0.000328687	0.006059148	-0.012822681	orange
yixianai	-0.008042299	0.004431047	-0.004065559	green
yixianai	-0.004330504	0.004822377	-0.006717064	green
yixianai	-0.005349605	0.003933387	-0.004643801	green
yixianai	-0.005491695	0.006639095	-0.004109942	green
yixianai	-0.006924782	0.007183435	-0.008404141	green
yixianai	-0.003538105	0.002608836	-0.004467081	green
yixianai	-0.00703067	0.008312014	-0.009295756	green
yixianai	-0.004047269	0.005043716	-0.002860916	green
yixianai	-0.006122493	0.005041939	-0.007699366	green
yixianai	-0.006731489	0.006677152	-0.007858627	green
yixianai	-0.007393034	0.008033986	-0.009664866	green
yixianai	-0.008834149	0.006867435	0.009946176	green
yixianai	-0.0241483	0.01793838	-0.028375988	green
yixianai	-0.008068279	0.007655026	-0.011176626	green
yixianai	-0.011736445	0.013236276	-0.018402583	green
