msaf	btmb
0	0
0	0
0	0
0	0
0	0
0	0
0.51	1
0.55	2.88
0.56	1
0.5751	3
0.71	2
0.93	3
0.97	2
1.06	4
1.0721	1
1.0819	6
1.2592	2
1.33	2
1.38	7
1.62	6
1.9149	5
1.93	4.32
1.9608	3
2.6	11.52
2.6563	10
2.7555	6
2.88	11
2.94	2
4.41	10
4.5732	3
4.7297	11
4.74	15
5.04	6
5.44	7
5.49	6
5.99	5
6.21	2
6.3523	5
6.37	7
7.91	7
8.55	5
8.62	10
8.91	9
9.2	8
11.09	5
11.51	26
11.75	8
12.79	11
13.2813	9
13.44	7
13.73	8
14.66	9
16.3823	6
16.89	6
19.27	11
19.53	13
20.288	22
21.0092	16
22.74	9
23.52	14
25.89	3
26.25	13
28.26	12
28.6822	9
31.65	15
32.85	6
34.41	4.32
37.0138	14
38.2813	12
39.861	10
41.47	11
42.1231	9
44.12	15.84
45.9443	7
48.32	22
48.3558	15
54.7619	11
56.1922	7
57.8281	12
60.59	16
62.17	9
67.0896	10
68.34	16
68.4815	21
68.59	3
68.9	19
71.4499	8
