freq_pair	freq_single
0.09 	0.09 
0.03 	0.03 
0.67 	0.67 
0.46 	0.46 
0.46 	0.46 
0.68 	0.68 
0.37 	0.37 
0.10 	0.10 
0.03 	0.03 
0.64 	0.64 
0.33 	0.33 
0.54 	0.54 
0.11 	0.11 
0.01 	0.01 
0.54 	0.54 
0.18 	0.18 
0.23 	0.23 
0.11 	0.11 
0.63 	0.63 
0.94 	0.94 
0.02 	0.02 
0.08 	0.08 
0.06 	0.06 
0.86 	0.86 
0.74 	0.74 
0.66 	0.66 
0.81 	0.81 
0.01 	0.01 
0.20 	0.20 
0.24 	0.24 
0.23 	0.23 
0.21 	0.21 
0.32 	0.32 
0.22 	0.22 
0.35 	0.35 
0.12 	0.12 
0.25 	0.25 
0.24 	0.24 
0.01 	0.01 
0.26 	0.26 
0.32 	0.32 
0.10 	0.10 
0.09 	0.09 
0.14 	0.14 
0.15 	0.15 
0.30 	0.30 
0.67 	0.67 
0.36 	0.36 
0.01 	0.01 
0.30 	0.30 
0.16 	0.16 
0.07 	0.07 
0.13 	0.13 
0.37 	0.37 
0.32 	0.32 
0.01 	0.01 
0.03 	0.03 
0.34 	0.34 
0.02 	0.02 
0.35 	0.35 
0.04 	0.04 
0.36 	0.36 
0.03 	0.03 
0.35 	0.35 
0.28 	0.28 
0.46 	0.46 
0.35 	0.35 
0.40 	0.40 
0.21 	0.21 
0.24 	0.24 
0.03 	0.03 
0.20 	0.20 
0.18 	0.18 
0.30 	0.30 
0.07 	0.07 
0.52 	0.52 
0.01 	0.01 
0.01 	0.01 
0.12 	0.12 
0.03 	0.03 
0.04 	0.04 
0.10 	0.10 
0.02 	0.02 
0.35 	0.35 
0.17 	0.17 
0.54 	0.54 
0.10 	0.10 
0.36 	0.36 
0.49 	0.49 
0.02 	0.02 
0.28 	0.28 
0.16 	0.00 
