HED_mean	btmb_syn	btmb
7.578268877	9	5
7.709023941	14	13
6.35174954	8	4
6.961325967	9	5
6.237569061	6	5
7.357274401	13	7
7.784530387	2	2
3.791896869	10	7
3.872928177	13	10
4.701657459	16	14
7.640883978	15.84	11.52
8.780847145	6	6
6.502762431	19	14
8.325966851	6	5
7.683241252	10	10
9.604051565	9	8
7.76611418	1	1
7.130755064	12	10
6.952117864	7	5
7.012891344	1	1
6.697974217	6	5
6.904235727	5	4
3.889502762	4.32	2.88
7.786372007	7	7
8.163904236	3	3
6.968692449	2	2
6.447513812	11	9
8.342541436	11	5
4.94106814	2	2
7.432780847	16	11
8.044198895	5	5
5.329650092	5	5
9.777163904	6	5
4.502762431	16	10
3.832412523	6	6
4.040515654	7	4
8.758747698	9	6
6.082872928	3	3
6.996316759	2.88	2.88
3.953959484	4.32	1.44
5.681399632	11	7
3.475138122	22	14
5.35359116	2	2
10.15285451	1	1
7.239410681	9	7
3.699815838	0	0
6.215469613	26	16
7.23388582	0	0
7.401473297	11.52	10.08
5.081031308	2	2
8.101289134	0	0
3.902394107	3	3
4.957642726	2	1
8.329650092	15	13
7.219152855	7	5
5.685082873	14	9
7.219152855	3	2
5.91160221	0	0
3.103130755	10	8
7.331491713	0	0
6.493554328	5	3
8.79558011	5	4
8.539594843	10	10
4.270718232	7	6
3.604051565	22	17
8.119705341	15	12
9.097605893	11	7
5.366482505	8	6
6.368324125	9	8
4.659300184	12	10
7.224677716	4	3
6.996316759	15	12
4.022099448	8	4
4.806629834	11	9
8.61878453	0	0
5.917127072	10	8
4.386740331	6	5
8.819521179	11	8
5.090239411	12	8
5.976058932	3	3
3.027624309	9	6
6.007366483	21	17
6.753222836	6	5
8.038674033	7	4
8.020257827	8	8
0	7	6
8.605893186	3	3
