tissue	blood
0.317768	0.190961
0.432658	0.20841
0.429695	0.30076
0.283293	0.382769
0.101349	0.152547
0.0889778	0.023344
0.485018	0.171546
0.688556	0.452104
0.296572	0.020358
0.367239	0.159275
0.532915	0.168633
0.270762	0.004547
0.459093	0.381272
0.302501	0.750464
0.380565	0.331159
0.856494	0.641984
0.793197	0.444731
0.396934	0.0972434
0.107279	0.063618
0.441961	0.10826
0.115813	0.008138
0.237745	0.129253
0.107182	0.016918
0.246823	0.405123
0.457818	0.0612853
0.148785	0.017474
0.303774	0.070182
0.366582	0.179501
0.345458	0.139973
0.269125	0.221807
0.71018	0.888696
0.095773	0.140486
0.174225	0.028322
0.397509	0.168932
0.4772	0.712277
0.021707	0.310104
0.385866	0.135107
0.375881	0.126486
0.348314	0.061178
0.377919	0.33194
0.283687	0.709755
0.478968	0.327615
0.236146	0.123925
0.37998	0.318969
0.00540674	0.001052
0.0623265	0.322238
0.391827	0.148904
0.000321	0.001391
0.199454	0.442717
0.390676	0.304467
0.292988	0.187324
