	P9	P11	P12	P15	P19	P21	P22	P24	P30	P1	P27	P3	P4	P7
TLR8	16.1053928	15.72563079	15.23423349	15.35403481	15.64811253	15.5686899	16.13426357	17.4863785	16.82690567	17.78751717	15.52361241	18.2874116	18.40206708	17.87582901
PTPN7	18.29340016	17.88304318	17.02466511	17.26549813	17.86934662	17.17637248	17.37655555	18.95388342	19.28268026	20.50803163	17.43707241	19.81698553	20.36554121	20.01993024
GBP1	20.43935798	20.92494714	20.63528713	20.40486815	21.22188735	20.93259519	20.26659669	21.89539221	21.87858614	23.29230293	20.8531169	22.54062032	22.65587382	22.94931805
TIGIT	17.02522245	16.26245677	15.7280481	16.43095218	14.80173572	15.08326308	15.24974079	17.73449348	18.31493899	18.54101355	15.43865033	18.80659619	19.35272856	19.40307602
IKZF3	19.61087179	18.49840261	16.90954249	18.60051529	17.25718748	18.58066254	18.70355662	20.41518745	20.11333768	21.62969223	18.14612177	20.7584055	21.62676739	20.17576811
PSMB9	19.18041655	19.3952686	20.02200282	18.82342467	19.2133537	19.22948382	18.50994664	20.19037604	20.5631406	20.49001817	19.08875406	21.28537245	21.52451132	21.24545385
IL10RA	20.33431547	19.8938937	19.73716675	19.21674596	19.16460936	18.56180352	19.47806617	20.8700188	20.53183365	21.33168444	18.98105295	21.06615079	21.99054911	22.04710044
CD8A	19.43121481	17.10184055	17.03315157	18.87759677	17.81803753	17.76133498	17.69225903	19.77004424	20.01136676	21.70349648	18.15232309	21.20062783	21.24868144	21.7046722
IL7	16.95771563	16.3377449	16.00322794	16.41457635	15.83771501	15.483801	17.53166091	18.1799515	17.44198816	17.74947781	15.91203079	18.64635453	19.04233696	17.85137597
CXCR3	11.15897384	11.45510185	10.20448615	10.44714421	10.1723791	10.43940689	11.70130417	14.07252791	12.10808742	14.52340973	10.35297673	14.44429691	14.92259771	13.30293935
IL2RB	18.70972063	17.95015738	17.42365467	17.40797362	17.56898388	16.5686899	16.76308037	18.5040805	19.26661296	20.14598455	17.18188247	19.90372853	20.37950493	20.44453562
CTLA4	15.74393634	15.02799152	13.82897701	15.68963784	14.90029955	14.06389775	14.23735707	16.42451324	17.86653274	18.12756579	14.88461171	17.30093274	17.86240293	17.33856326
CCR5	19.58314013	18.11474104	17.79943274	18.54442391	17.92392316	18.42809157	18.65898665	19.66616475	19.71689666	21.27280033	18.29881288	21.40695848	21.46145817	20.78997543
IL18	19.1988068	18.49072576	18.56642992	19.52052073	18.39758653	18.27018615	20.15580911	21.3053906	20.72255189	20.3778329	18.72943114	21.32363179	21.45906911	20.1855824
ITGAL	18.91274772	17.28799187	17.40088336	18.07858114	17.50105402	17.74014076	16.94923168	19.01318925	19.09752923	19.70402933	17.77325864	20.04541518	21.10135831	20.52404307
