ERV1	pos
0.099227963	ERV1
0.142403892	ERV1
0.025117656	ERV1
0.177066258	ERV1
0.072894083	ERV1
0.014092327	ERV1
0.00436254	ERV1
0.077124425	ERV1
0.294246735	ERV1
0.076860029	ERV1
0.022976046	ERV1
0.013136524	ERV2
0.02020884	ERV2
0.004772958	ERV2
0.286701059	ERV2
0.061858653	ERV2
0.179713996	ERV2
0.083508093	ERV2
0.035044214	ERV2
0.126878535	ERV2
0.065838192	ERV2
0.082011487	ERV2
0.006635651	ERV3
0.028655745	ERV3
0.010407703	ERV3
0.014416743	ERV3
0.237182218	ERV3
0.074967062	ERV3
0.154374818	ERV3
0.02487805	ERV3
0.069976217	ERV3
0.019218562	ERV3
0.019207277	ERV3
0.261953609	L1
0.082727718	L1
0.182725024	L1
0.02066346	L1
0.013157504	L1
0.037034867	L1
0.10846199	L1
0.042361191	L1
0.05869913	L1
0.048586252	L1
0.003015603	L1
0.22011365	SINE1/7SL
0.012125785	SINE1/7SL
0.009375385	SINE1/7SL
0.01598651	SINE1/7SL
0.044017186	SINE1/7SL
0.008802513	SINE1/7SL
0.057270235	SINE1/7SL
0.115313539	SINE1/7SL
0.005360663	SINE1/7SL
0.017549587	SINE1/7SL
0.009088949	SINE1/7SL
0.011271539	SINE2/tRNA
0.012883815	SINE2/tRNA
0.039720299	SINE2/tRNA
0.105463745	SINE2/tRNA
0.054990139	SINE2/tRNA
0.006773	SINE2/tRNA
0.006621849	SINE2/tRNA
0.014247772	SINE2/tRNA
0.219586278	SINE2/tRNA
0.008777549	SINE2/tRNA
0.004728864	SINE2/tRNA
