group	ID	Activated_CD4_T_cell	Activated_CD8_T_cell	Activated_dendritic_cell	CD56bright_natural_killer_cell	Central_memory_CD4_T_cell	Central_memory_CD8_T_cell	Effector_memeory_CD4_T_cell	Effector_memeory_CD8_T_cell	Natural_killer_cell	Natural_killer_T_cell	Type_1_T_helper_cell	Type_17_T_helper_cell	CD56dim_natural_killer_cell	Immature_dendritic_cell	Macrophage	MDSC	Neutrophil	Plasmacytoid_dendritic_cell	Regulatory_T_cell	Type_2_T_helper_cell	Activated_B_cell	Eosinophil	Gamma_delta_T_cell	Immature__B_cell	Mast_cell	Memory_B_cell	Monocyte	T_follicular_helper_cell
cdk	TCGA.18.3407.01	-0.064063589	-1.166904976	-1.326941846	0.825045013	0.837052812	1.371666458	0.538452503	-0.576306048	-0.670198298	1.504783008	0.295618741	-1.102123173	-1.065654352	0.597505662	-0.761527683	0.176349378	0.16287632	0.719514338	-0.479363732	0.487020319	0.293681302	0.261672438	0.082537294	-0.52827349	-0.268746235	-0.481583337	-0.104678309	0.000403931
cdk	TCGA.21.1079.01	-0.521864298	-0.740073214	-1.074080175	0.779641813	1.349090317	0.349330223	-0.153159216	-0.927390305	-0.63759479	1.901036036	0.044490416	0.644221614	-0.152685112	0.172188923	0.691921585	-0.317449126	-1.176887597	0.394405344	0.318290834	-0.299323255	-0.772629228	-0.452797885	0.664681168	-0.114734342	0.157797828	1.082178679	0.277787835	-1.263904446
cdk	TCGA.21.5783.01	0.395343472	-1.194930701	-1.968741751	0.769987227	-0.172440645	-0.38450715	0.745579396	-1.31489544	0.664701459	1.552812558	-0.356285613	0.640910064	0.545381352	0.027496928	0.237823779	-0.998071913	1.028678795	1.967957567	-0.474738039	1.037812875	0.053045024	-0.437640658	0.247607542	-0.896640684	-0.67270688	1.054488282	0.113186881	-1.371427626
cdk	TCGA.21.5786.01	0.380297773	0.227965712	-0.18133413	0.612660252	-1.091096881	1.218812634	-0.478525374	-1.107761252	-1.323906631	1.438845429	0.699011667	0.062091148	0.985448072	0.656334737	-0.489673702	-0.553756666	-1.32936903	1.371681666	-0.793258255	0.383386863	1.396067356	-1.153956158	-0.476744306	-1.224261721	-1.261501332	1.712181842	-0.754708145	0.39060921
cdk	TCGA.22.0940.01	1.68665207	1.000362456	0.792602147	-0.540636312	-1.072134241	-0.286127197	-0.93552696	1.858851064	-1.073027088	-0.383116603	0.803871902	0.165594652	-0.805331609	-0.178120128	0.211246513	0.828101666	-0.638345056	-1.098989866	0.44884084	-0.679619716	-0.329789748	-0.030270376	-0.634053399	-0.104910644	0.738391568	-1.559460303	-1.789711642	-1.156987035
cdk	TCGA.22.1012.01	1.61206485	0.034132867	-1.180790886	0.316810765	0.146389487	1.006544238	-0.022210722	-0.761189766	-1.646529574	1.251393211	-0.584405734	-0.319623676	0.271889443	0.001882269	0.075505402	0.23332848	-1.167307656	0.250760133	-0.627752786	0.668065065	-0.541150677	-0.551291638	-1.348678457	-1.225880245	-0.923795663	1.002150482	0.858781419	1.410244453
cdk	TCGA.22.4593.01	0.386063478	-0.361398869	-1.405117505	1.145747564	0.766609864	0.668981177	0.796524862	-1.497374519	0.716573976	1.704426904	0.618766806	0.133362719	-1.726007694	-0.53651689	-0.205407375	-0.929334808	0.377606547	0.901111813	-0.732662359	0.945210273	-0.003929743	-1.250705943	-0.517333336	-1.701377923	-1.205685432	0.726763172	0.944021385	0.157074085
cdk	TCGA.22.4599.01	1.449680663	0.867492452	0.827343365	-0.082019764	-1.723682668	0.445513188	0.786317472	0.238593999	-1.485359677	-0.095959164	0.897455498	-0.848885859	-0.229485579	-1.090870331	0.712733518	0.677866507	-1.522757963	-1.406114243	0.766872763	-0.448868086	-0.620905205	-1.879706181	0.436197602	0.77537051	-0.584767324	0.370631883	-1.170712237	0.105017971
cdk	TCGA.22.4613.01	1.00340364	0.249598108	0.37754336	0.521353425	0.18579452	0.855496181	0.29503616	-0.561187544	-1.651173077	-0.309484423	-0.52611771	-0.749245073	-0.680535813	-0.183235063	-0.494421416	0.148023388	-2	0.155742666	0.307339495	0.794333733	0.18746652	-0.415828397	-0.385605787	0.717294322	-1.807007004	0.372633597	0.301350871	1.093613231
cdk	TCGA.22.5477.01	0.966422409	0.2314896	-1.355057649	1.024769147	-1.141664665	0.997255154	2	-0.380910667	-0.594470518	-0.022916681	-1.543462908	0.741647347	-0.591949131	-0.296623162	-0.405641391	-2	-0.199542557	0.625602214	-0.589537637	1.280466986	0.896239092	1.138113254	-1.148971848	-0.243075249	-1.643683549	1.039028179	0.960034959	0.97324261
