class	shannon
N	7.829061742
N	4.340053155
N	7.992270571
N	6.271434609
N	6.027063009
N	7.029933269
N	6.054890716
N	7.393488573
N	6.138319242
N	2.0848568
N	3.928381992
N	5.190387988
N	4.816420768
N	6.343609278
N	7.462529388
N	5.548519047
N	6.048412549
N	6.679371147
N	5.779538494
N	8.08639685
N	2.422662819
N	7.260020053
N	7.022477132
N	5.743340348
N	6.599655432
N	7.099851479
N	7.694847675
N	3.088743974
N	7.740529039
N	7.483371044
N	4.289965723
N	6.389121564
N	8.008160232
N	8.635006162
N	6.334415956
N	5.799830736
N	7.480045577
N	3.195175526
N	5.297987904
N	7.492069591
N	3.309306596
N	6.693378649
N	7.818179287
N	4.271155584
N	7.25078294
N	8.312725639
N	8.340796241
N	4.946948009
N	7.878622599
N	5.041583069
N	3.589886053
N	2.145980363
N	8.056790534
N	3.955447312
N	8.134327049
N	6.839125357
N	8.90692559
N	3.474120304
N	6.086889218
N	7.961851779
N	6.51144464
N	5.077503878
N	6.055182059
N	6.248758001
N	9.82463543
N	5.346277867
N	6.929546079
N	3.893798588
N	7.438760897
N	7.800197219
N	6.732944857
Y	3.330376894
Y	4.458475395
Y	5.737818115
Y	8.138671095
Y	5.090519263
Y	4.614364855
Y	7.450717543
Y	7.39394498
Y	8.937907561
Y	7.106621261
Y	7.916258717
Y	4.703943451
