UniProtID	GeneSymbol	P value	FDR	Log2 FC	FDR2
A0A023I7J4	ND2	0.000862637	0.001600195	-0.990439669	2.795827091
A0A023I7N5	ND1	0.000570675	0.001125357	-0.553079148	2.948709683
A0A023I905	ND4	0.026313762	0.029549295	-0.398154972	1.529452876
A0A023Q4K2	COX3	0.000113632	0.000274849	-0.846379903	3.560905839
A0A023QZ89	ATP8	5.68E-09	3.56E-08	-0.687838053	7.448550002
A0A023T6R1	FLJ10292	1.44E-05	4.41E-05	0.386263882	4.355561411
A0A023T787	RBM8	3.28E-07	1.45E-06	0.551409936	5.838631998
A0A024QYR8	TM9SF2	0.000195699	0.000441285	-0.531063226	3.355280835
A0A024QYU9	EIF3S8	0.015643	0.019037235	-0.159412769	1.720396129
A0A024QYX0	EBP	0.005870532	0.008302954	0.457253827	2.080767368
A0A024QYX3	RBM3	9.01E-05	0.00022343	0.797754238	3.650858514
A0A024QZ03	CCDC22	0.007050255	0.009662501	-0.918295727	2.014910448
A0A024QZ22	PRAF2	3.19E-10	2.57E-09	0.455903963	8.590066877
A0A024QZ30	SDHA	5.99E-13	7.66E-12	-0.857327739	11.11577123
A0A024QZ62	hCG_1998851	0.002876564	0.004511571	-0.570209165	2.345672204
A0A024QZ63	hCG_27198	2.63E-07	1.19E-06	-2.199392934	5.924453039
A0A024QZ77	EFHD2	0.044730961	0.045841038	0.102029869	1.338745557
A0A024QZ78	AGMAT	0.003098672	0.004794347	0.524254494	2.319270536
A0A024QZ95	OLFM4	1.90E-07	8.88E-07	2.183832051	6.051587034
A0A024QZB4	hCG_1993905	7.16E-17	1.67E-15	-1.358374393	14.77728353
A0A024QZC1	CD2BP2	6.84E-11	6.10E-10	1.286585862	9.214670165
A0A024QZD1	RPL18	0.002426548	0.003912808	0.187706192	2.407511462
A0A024QZD5	SNRP70	2.86E-09	1.89E-08	0.37870972	7.723538196
A0A024QZF2	RRAS	4.37E-12	4.85E-11	-1.415704753	10.31425826
A0A024QZI2	hCG_1998059	3.67E-08	2.00E-07	-0.540010629	6.698970004
A0A024QZJ2	UBE2D1	0.036076547	0.038198696	0.406749424	1.417951462
A0A024QZJ4	MYH11	0.018618255	0.022119001	-1.298043955	1.655234492
A0A024QZK4	PHYHIPL	0.047421432	0.047963657	-2.580519153	1.319087711
A0A024QZN2	hCG_2024613	0.033240591	0.035746047	0.450655891	1.446771978
A0A024QZN4	VCL	5.18E-05	0.000136518	-0.881696514	3.864810083
A0A024QZP7	CDC2	4.11E-07	1.77E-06	1.164267532	5.752026734
A0A024QZR3	hCG_2002731	0.00367162	0.005561319	0.198491697	2.254822193
A0A024QZW0	TPMT	0.00022627	0.000501095	-0.483981795	3.300079931
A0A024QZW2	NOL7	3.07E-05	8.54E-05	0.438820297	4.068542129
A0A024QZX3	SERPINB6	0.008356789	0.011137691	-0.554599225	1.953204835
A0A024QZY0	BPHL	0.041934001	0.043537112	-0.640203363	1.361140383
A0A024QZZ6	MGC12981	4.68E-07	1.99E-06	-0.818613008	5.701146924
A0A024R012	SIRT5	0.044812102	0.04586389	-0.272686223	1.338529113
A0A024R046	HMGN4	1.35E-05	4.20E-05	0.877287221	4.37675071
A0A024R059	HMGCS1	2.23E-07	1.03E-06	-2.199237843	5.987162775
A0A024R084	SDF4	0.021975256	0.025384222	-0.421520979	1.595436143
A0A024R0C3	NNT	1.06E-05	3.35E-05	-0.447818793	4.474955193
A0A024R0C7	CTTNBP2NL	0.000135303	0.000320015	-1.687127729	3.494829665
A0A024R0E2	CSDE1	0.000287073	0.000614645	0.386905334	3.211375647
A0A024R0E5	CAPZA1	0.042332569	0.043862662	-0.224594633	1.357905015
A0A024R0H1	SLC16A1	0.002505138	0.004018604	-0.621724498	2.395924788
A0A024R0H7	WDR77	3.68E-06	1.30E-05	0.746397202	4.886056648
A0A024R0K8	hCG_1995540	0.010363794	0.013391255	-0.467086092	1.87317872
A0A024R0L6	PAFAH1B3	2.41E-09	1.63E-08	0.788877598	7.787812396
A0A024R0M6	TIMM50	0.002425018	0.003912379	0.277421024	2.407559081
A0A024R0N7	SAMD4B	1.77E-06	6.67E-06	-2.258012672	5.175874166
A0A024R0Q4	PLD3	8.89E-12	9.39E-11	-1.361522615	10.02733441
A0A024R0R4	SAE1	2.39E-07	1.09E-06	0.389254126	5.962573502
A0A024R0R9	NAPA	0.000723602	0.001379477	-0.373013418	2.860285536
A0A024R0S6	EHD2	2.06E-17	5.37E-16	-1.821390379	15.27002571
A0A024R0T9	APOC2	6.01E-07	2.51E-06	-1.431788362	5.600326279
A0A024R0W3	SLC38A2	0.003367447	0.005161196	0.074116228	2.287249648
A0A024R150	CORO2A	0.00850952	0.011302219	-0.688271164	1.946836282
A0A024R151	SLC44A1	1.07E-06	4.26E-06	-0.950498595	5.370590401
A0A024R178	ARAF	0.032814884	0.035386583	-1.438080073	1.451161372
A0A024R179	NCBP1	0.000658169	0.001265646	0.160052066	2.897687749
A0A024R1A3	UBE1	0.032250313	0.0348506	0.072206315	1.457789741
A0A024R1F4	hCG_2010666	0.022324688	0.025741987	-0.574576185	1.589357933
A0A024R1I3	PDXP	0.001396559	0.002448328	-0.4682008	2.611130401
A0A024R1K8	SF3A1	0.000609237	0.00118928	0.352041175	2.924715885
A0A024R1N4	XRCC6	0.002552373	0.004083798	0.260737018	2.388935748
A0A024R1Q5	NAGA	2.08E-22	1.24E-20	-1.207734681	19.90657831
A0A024R1S8	LASP1	0.002991234	0.004663072	0.161087313	2.331327879
A0A024R1T9	ACLY	8.67E-05	0.000215838	0.339316603	3.665872092
A0A024R1U0	RANGAP1	3.56E-09	2.30E-08	0.325812942	7.638272164
A0A024R1U4	RAB5C	0.032013728	0.03465542	-0.234461639	1.460228833
A0A024R1V4	RPL27	0.006477111	0.009012645	0.201105579	2.045147735
A0A024R1W3	FKBP10	1.10E-16	2.48E-15	1.897130364	14.60554832
A0A024R1Y7	LGP1	0.049810408	0.04985872	0.470288888	1.302258875
A0A024R1Z1	CDC34	0.002340556	0.003800289	-0.787050506	2.420183375
A0A024R1Z6	VAT1	1.02E-05	3.25E-05	-0.414433277	4.488116639
A0A024R201	PSMD13	0.019880272	0.023393889	0.293859652	1.630897575
A0A024R203	PSME3	0.028895472	0.031802482	-0.49192868	1.497538985
A0A024R210	IFITM1	2.36E-06	8.67E-06	2.032543868	5.061980903
A0A024R222	PSAT1	0.001444906	0.002518822	-0.845348433	2.598802522
A0A024R228	HNRPK	2.54E-06	9.24E-06	0.187102645	5.034328029
A0A024R261	hCG_24487	1.63E-05	4.91E-05	0.310467007	4.308918508
A0A024R276	CTSL	0.001052355	0.001905317	-1.436710222	2.720032758
A0A024R277	SPTLC1	0.022652015	0.0260515	-1.191464209	1.584167266
A0A024R292	FVT1	0.014947997	0.018335578	-0.506328626	1.736705395
A0A024R2A7	LMAN1	0.043065642	0.044493	-0.302039068	1.35170831
A0A024R2B6	SERPINB5	1.55E-10	1.31E-09	0.580393909	8.882728704
A0A024R2C5	VPS4B	0.00431075	0.006358305	-0.286032022	2.196658643
A0A024R2G2	FANCD2	7.45E-07	3.06E-06	0.820071247	5.514278574
A0A024R2G7	RPL32	0.00661099	0.009161873	0.057789215	2.038015733
A0A024R2G9	OXNAD1	1.17E-10	1.01E-09	0.936770881	8.995678626
A0A024R2I7	RAD18	0.043553196	0.044903157	-0.470812166	1.347723124
A0A024R2L0	UBP1	0.033577879	0.03607117	0.289877125	1.442839771
A0A024R2M9	HIGD1A	8.08E-13	1.00E-11	-1.033732703	11
A0A024R2Q3	CTNNB1	0.015031306	0.018415878	0.305597395	1.734807571
A0A024R2Q4	RPL15	0.013981488	0.01731327	0.097702032	1.761620898
A0A024R2Q7	CLEC3B	1.20E-07	5.96E-07	-0.865549975	6.22475374
A0A024R2Q9	OXSM	0.000241087	0.000530118	-0.538834729	3.275627449
A0A024R2T6	DHX30	0.017588818	0.02104947	-0.245865772	1.676758835
A0A024R2U9	APEH	0.000921634	0.0016934	-0.388375007	2.771240445
A0A024R2W4	DAG1	8.45E-07	3.43E-06	0.682746628	5.46470588
A0A024R301	CHDH	0.000112714	0.000273054	-0.515913522	3.563751457
A0A024R319	LAMB2	4.92E-16	9.95E-15	-1.240200728	14.00217692
A0A024R325	SUCLG2	8.89E-20	3.40E-18	-1.091838525	17.46852108
A0A024R328	PRKCD	2.24E-05	6.47E-05	0.481415551	4.189095719
A0A024R357	SHQ1	0.001069874	0.001935902	0.249589208	2.713116631
A0A024R371	ARL6IP5	7.88E-09	4.82E-08	-0.618188839	7.316952962
A0A024R374	CTSB	0.003381015	0.005176865	0.163288176	2.28593316
A0A024R395	MRE11A	1.04E-06	4.16E-06	0.147576039	5.380906669
A0A024R396	C11orf54	2.96E-06	1.06E-05	-0.891683197	4.974694135
A0A024R3A2	DCUN1D5	1.38E-08	8.09E-08	-1.761391011	7.092051478
A0A024R3B5	KBTBD3	0.000561097	0.001108588	0.189388902	2.955229827
A0A024R3D8	DLAT	0.006375687	0.008895505	-0.314623758	2.050829392
A0A024R3E0	IL18	0.005474882	0.007793212	-0.520064989	2.108283509
A0A024R3E3	APOA1	1.68E-13	2.32E-12	-1.255556954	11.63451202
A0A024R3H3	LOH11CR2A	5.48E-10	4.25E-09	-0.854593207	8.37161107
A0A024R3H9	SLC37A4	0.000147389	0.000343872	-0.627566261	3.463603185
A0A024R3I5	MCAM	1.81E-09	1.26E-08	-1.24155199	7.899629455
A0A024R3J1	TRIM29	6.69E-05	0.000171724	0.534027993	3.765169004
A0A024R3S3	CABC1	0.002151032	0.003527327	-0.2349626	2.452554277
A0A024R3T3	TMEM63A	2.74E-06	9.88E-06	-0.96292874	5.005243055
A0A024R3U5	GUK1	0.02995539	0.032759658	0.188356775	1.484660641
A0A024R3U9	RAB4A	1.21E-06	4.74E-06	-0.99520795	5.324221658
A0A024R3V0	DNAPTP6	0.002148438	0.003524941	-1.98582161	2.452848148
A0A024R3W7	EEF1B2	1.64E-06	6.23E-06	0.350607839	5.205511953
A0A024R3X4	HSPD1	1.13E-08	6.77E-08	0.598556513	7.169411331
A0A024R3Z2	SUMO1	9.14E-06	2.95E-05	0.186152404	4.530177984
A0A024R3Z5	LANCL1	0.000605631	0.001185154	-0.681882015	2.926225213
A0A024R3Z6	BZW1	1.35E-10	1.15E-09	0.485662612	8.93930216
A0A024R413	NDUFB3	7.02E-09	4.32E-08	-0.652625845	7.364516253
A0A024R462	FN1	2.25E-09	1.54E-08	0.584607871	7.812479279
A0A024R475	CUL3	5.91E-07	2.48E-06	-1.099678535	5.605548319
A0A024R482	GMPPA	0.00318799	0.004920247	-0.629064492	2.308013095
A0A024R483	MGC99813	2.66E-09	1.78E-08	-1.509359254	7.749579998
A0A024R488	WDFY1	0.009010395	0.011890956	0.092040626	1.924783228
A0A024R496	CAB39	0.010533088	0.013582025	-0.580445248	1.867035474
A0A024R497	ACSL3	0.001923896	0.003205802	0.158652241	2.494063304
A0A024R4A0	NCL	1.05E-19	3.95E-18	0.932744088	17.4034029
A0A024R4B3	NDUFA10	1.65E-12	1.94E-11	-0.883282023	10.71219827
